START DATE,IMMUNIZED POPULATION,STATES COVERED
3/13/2021,"7,758,668","BAYELSA, DELTA, NIGER, SOKOTO, ZAMFARA"
4/10/2021,"1,613,896",KEBBI
4/24/2021,"8,336,070","BAYELSA, DELTA, NIGER, SOKOTO, ZAMFARA"
5/22/2021,"2,045,022",KEBBI
6/19/2021,"5,380,100","ABIA, AKWA IBOM, IMO, RIVERS"
6/26/2021,"13,903,528","BAUCHI, BORNO, GOMBE, JIGAWA, KANO, KATSINA, YOBE"
7/17/2021,"5,673,792","ABIA, AKWA IBOM, IMO, RIVERS"
7/31/2021,"14,194,645","BAUCHI, BORNO, GOMBE, JIGAWA, KANO, KATSINA, YOBE"
8/7/2021,"11,015,909","ADAMAWA, BENUE, FCT, KADUNA, NASARAWA, PLATEAU, TARABA, ZAMFARA"
9/4/2021,"22,074,945","ANAMBRA, CROSS RIVER, EBONYI, EDO, ENUGU, KOGI, LAGOS, KEBBI, KWARA, OGUN, OSUN, OYO, SOKOTO"
9/25/2021,"8,450,405","ADAMAWA, BENUE, FCT, KADUNA, NASARAWA, PLATEAU, TARABA, ZAMFARA"
10/9/2021,"20,956,692","ANAMBRA, CROSS RIVER, EBONYI, EDO, EKITI, ENUGU, KOGI, ONDO, KEBBI, KWARA, OGUN, OSUN, LAGOS, OYO, SOKOTO"
12/8/2021,"24,711,788","BAUCHI, BAYELSA, BORNO, CROSS RIVER, EKITI, GOMBE, JIGAWA, KANO, KATSINA, KEBBI, KOGI, KWARA, LAGOS, OGUN, ONDO, OSUN, OYO, SOKOTO, YOBE, ZAMFARA"
1/22/2022,"36,380,019","ADAMAWA, ANAMBRA, BAUCHI, BAYELSA, BENUE, BORNO, CROSS RIVER, EBONYI, EDO, EKITI, FCT, GOMBE, JIGAWA, KADUNA, KANO, KATSINA, KOGI, KWARA, NASARAWA, NIGER, ONDO, PLATEAU, TARABA, YOBE"
2/12/2022,"33,809,092",n/a
2/19/2022,"11,177,943","FCT, TARABA, KWARA, ADAMAWA, BENUE, KOGI, NASARAWA, PLATEAU"
3/26/2022,"30,348,676","ABIA, AKWA IBOM, ANAMBRA, BAYELSA, CROSS RIVER, DELTA, EBONYI, EDO, EKITI, ENUGU, IMO, LAGOS, OGUN, ONDO, OSUN, OYO, RIVERS, KEBBI, SOKOTO, ZAMFARA"
5/14/2022,"52,036,977","ADAMAWA, BAUCHI, BORNO, FCT, GOMBE, JIGAWA, KADUNA, KANO, KATSINA, KEBBI, NASARAWA, NIGER, PLATEAU, SOKOTO, YOBE, ZAMFARA, ABIA, AKWA IBOM, ANAMBRA, BAYELSA, CROSS RIVER, DELTA, EBONYI, EDO, EKITI, ENUGU, IMO, LAGOS, OGUN, ONDO, OSUN, OYO, RIVERS"
7/2/2022,"1,329,105",KWARA
7/30/2022,"14,332,302","BAUCHI, BORNO, KADUNA, KATSINA, KWARA, NIGER"
9/3/2022,"7,345,743","ADAMAWA, BENUE, GOMBE, PLATEAU, TARABA, YOBE"
10/1/2022,"7,345,743","ADAMAWA, BENUE, GOMBE, PLATEAU, TARABA, YOBE"
10/8/2022,"13,907,904","KADUNA, KATSINA, KEBBI, NIGER, SOKOTO, ZAMFARA"
11/5/2022,"5,030,784","KEBBI, SOKOTO, ZAMFARA"
12/17/2022,"15,386,719","EDO, EKITI, KOGI, KWARA, LAGOS, OGUN, ONDO, OSUN, OYO"
1/20/2023,"15,727,876","EDO, EKITI, KOGI, KWARA, LAGOS, OGUN, ONDO, OSUN, OYO"
2/18/2023,"115,266",ZAMFARA
5/13/2023,"8,209,555","KATSINA, KEBBI, SOKOTO, ZAMFARA, BAUCHI, BORNO, FCT, JIGAWA, KADUNA, KANO, KOGI, KWARA, LAGOS, NIGER, SOKOTO, YOBE, "
7/5/2023,"36,345,872",n/a
7/17/2023,"36,345,872","BAUCHI, BORNO, FCT, JIGAWA, KADUNA, KANO, KATSINA, KEBBI, KOGI, KWARA, LAGOS, NIGER, SOKOTO, YOBE, ZAMFARA"
,"471,290,908",
